Entity,Year,"Land use change, on-farm, and animal feed","Supply chain (processing, transport, packaging, retail)"
Apples,2018,0.196864298,0.160728641
Bananas,2018,0.244084487,0.442627268
Barley,2018,0.185052271,0.923427257
Beef (beef herd),2018,82.14657716,2.890829876
Beef (dairy herd),2018,26.68522511,2.768655673
Beet Sugar,2018,0.535773206,1.000040768
Berries & Grapes,2018,0.742449147,0.464540974
Brassicas,2018,0.279987715,0.15678784
Cane Sugar,2018,1.754310408,0.952891455
Cassava,2018,0.809429281,0.177741744
Cheese,2018,19.91607307,1.384371628
Citrus Fruit,2018,0.160778883,0.155275742
Coffee,2018,14.57323862,2.487696378
Dark Chocolate,2018,32.50183524,1.204701121
Eggs,2018,4.235030268,0.281117222
Fish (farmed),2018,11.08525223,0.52007027
Groundnuts,2018,2.061106619,0.699827203
Lamb & Mutton,2018,30.95716678,2.866868132
Maize,2018,1.192443447,0.298276828
Milk,2018,2.264898648,0.612754674
Nuts,2018,0.116594682,0.324540132
Oatmeal,2018,1.874305352,0.278725792
Olive Oil,2018,3.348487742,1.760742071
Onions & Leeks,2018,0.215847974,0.178816562
Other Fruit,2018,0.499614278,0.257116151
Other Pulses,2018,1.122017226,0.488729308
Other Vegetables,2018,0.177353654,0.282837666
Palm Oil,2018,4.630717034,2.137288328
Peas,2018,0.717278743,0.179211435
Pig Meat,2018,9.019642645,1.627488039
Potatoes,2018,0.191768314,0.17766008
Poultry Meat,2018,6.888607665,1.525130021
Rapeseed Oil,2018,2.352204864,1.172201152
Rice,2018,3.532073987,0.308055201
Root Vegetables,2018,0.167383361,0.197287011
Shrimps (farmed),2018,17.81448018,1.219360012
Soy milk,2018,0.27273988,0.640912001
Soybean Oil,2018,4.272477794,1.390197321
Sunflower Oil,2018,2.098799007,1.219043748
Tofu,2018,1.452931081,1.418342857
Tomatoes,2018,1.078434057,0.351855224
Wheat & Rye,2018,0.917430181,0.478457792
Wine,2018,0.564762624,1.020464438
